Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
22 September 2013,34.0,AlphaCoin,ALF,7629.0,0.000495,15427650.0,,2.25,-32.05,-38.6
15 September 2013,30.0,AlphaCoin,ALF,11954.0,0.000798,14982350.0,,0.39,1.22,-30.58
08 September 2013,30.0,AlphaCoin,ALF,16028.0,0.001144,14015300.0,,0.38,3.66,9.71
01 September 2013,32.0,AlphaCoin,ALF,13858.0,0.001062,13043500.0,,0.37,-2.56,31.53
25 August 2013,37.0,AlphaCoin,ALF,9697.0,0.000802,12086400.0,,-0.16,-3.82,-5.86
18 August 2013,33.0,AlphaCoin,ALF,9471.0,0.000849,11156250.0,,-0.16,1.62,-13.53
11 August 2013,34.0,AlphaCoin,ALF,10672.0,0.00105,10164050.0,,3.73,21.94,-6.84
04 August 2013,36.0,AlphaCoin,ALF,11007.0,0.001189,9256400.0,,2.09,-8.97,-38.88
28 July 2013,32.0,AlphaCoin,ALF,14508.0,0.001631,8895150.0,,-0.04,-5.65,43.2
21 July 2013,34.0,AlphaCoin,ALF,8876.0,0.001075,8253050.0,,1.01,11.11,25.05
14 July 2013,32.0,AlphaCoin,ALF,5968.0,0.000824,7240300.0,,-12.89,-16.86,7.13
07 July 2013,27.0,AlphaCoin,ALF,4720.0,0.000748,6310999.0,,3.97,0.0,0.0
