Date,Rank,Nombre,Símbolo,Cap. de Mercado,Precio,Acciones en circulación,% 1h,% 24h,% 7d
29 September 2013,27.0,CHNCoin,CNC,11099.0,0.002111,5257874.0,,-0.35,1.28,-67.12
22 September 2013,23.0,CHNCoin,CNC,42770.0,0.008135,5257874.0,,0.27,98.75,80.25
15 September 2013,28.0,CHNCoin,CNC,23991.0,0.004563,5257698.0,,1.11,13.78,-46.27
08 September 2013,23.0,CHNCoin,CNC,44773.0,0.008516,5257434.0,,0.61,28.57,-27.45
01 September 2013,22.0,CHNCoin,CNC,61816.0,0.011759,5256994.0,,0.16,0.0,51.41
25 August 2013,26.0,CHNCoin,CNC,40121.0,0.007632,5256994.0,,-2.75,5.94,11.55
18 August 2013,25.0,CHNCoin,CNC,35798.0,0.00681,5256730.0,,-0.16,0.54,-4.33
11 August 2013,24.0,CHNCoin,CNC,37533.0,0.00714,5256730.0,,0.15,1.87,-25.76
04 August 2013,24.0,CHNCoin,CNC,50291.0,0.009568,5256114.0,,-0.05,-2.63,63.68
28 July 2013,21.0,CHNCoin,CNC,30935.0,0.005886,5256114.0,,-0.04,6.51,-49.66
21 July 2013,17.0,CHNCoin,CNC,62014.0,0.011798,5256114.0,,0.54,0.81,26.21
14 July 2013,18.0,CHNCoin,CNC,49271.0,0.009374,5255938.0,,1.23,23.62,-27.43
07 July 2013,12.0,CHNCoin,CNC,70529.0,0.013421,5255146.0,,-2.34,-9.87,61.55
30 June 2013,15.0,CHNCoin,CNC,45596.0,0.008695,5243794.0,,-10.46,0.25,-64.17
23 June 2013,10.0,CHNCoin,CNC,135261.0,0.025824,5237810.0,,4.1,-25.48,-38.17
16 June 2013,10.0,CHNCoin,CNC,216137.0,0.041794,5171458.0,,-0.01,-1.85,-18.66
09 June 2013,10.0,CHNCoin,CNC,260701.0,0.051,5111794.0,,-1.28,-3.96,-8.39
02 June 2013,10.0,CHNCoin,CNC,287452.0,0.056254,5109858.0,,1.0,-3.95,-26.1
26 May 2013,10.0,CHNCoin,CNC,374915.0,0.073414,5106866.0,,-2.95,-1.54,-22.36
19 May 2013,10.0,CHNCoin,CNC,485059.0,0.095152,5097714.0,,0.76,-4.04,-0.39
12 May 2013,10.0,CHNCoin,CNC,489370.0,0.0966,5065946.0,,2.83,-11.26,0.0
